face_images_1,face_images_2,trial_resp.keys,trial_resp.rt,resp_1.keys,resp_1.rt,resp_2.keys,resp_2.rt,resp_3.keys,resp_3.rt,resp_4.keys,resp_4.rt
images/18n.tiff,images/18n.tiff,,,,,,,['z'],[1.624033000000054],,
images/5n.tiff,images/5n.tiff,,,,,,,['z'],[1.482347000000118],,
images/10n.tiff,images/10n.tiff,,,,,,,['z'],[1.3055895999998484],,
images/4n.tiff,images/4n.tiff,,,,,,,['z'],[1.913432000000057],,
images/10n.tiff,images/10n.tiff,,,,,,,['z'],[1.3674591999999848],,
images/4n.tiff,images/18n.tiff,,,,,,,['m'],[1.6141009999998914],,
images/18n.tiff,images/18n.tiff,,,,,,,['z'],[1.4877718000000186],,
images/5n.tiff,images/5n.tiff,,,,,,,['z'],[2.703932800000075],,
images/4n.tiff,images/4n.tiff,,,,,,,['z'],[1.4558403999999427],,
images/5n.tiff,images/10n.tiff,,,,,,,['m'],[1.345026500000131],,
images/18n.tiff,images/4n.tiff,,,,,,,['m'],[2.062711199999967],,
images/10n.tiff,images/5n.tiff,,,,,,,['m'],[1.2156073999999535],,
,,,,,,,,,,,
images/4n.tiff,images/18n.tiff,,,,,,,,,['m'],[3.545355799999925]
images/5n.tiff,images/10n.tiff,,,,,,,,,['m'],[2.2730260000000726]
images/10n.tiff,images/5n.tiff,,,,,,,,,['m'],[1.6421311999999944]
images/18n.tiff,images/4n.tiff,,,,,,,,,['m'],[1.507793799999945]
images/5n.tiff,images/5n.tiff,,,,,,,,,['z'],[1.2260352999999213]
images/4n.tiff,images/4n.tiff,,,,,,,,,['z'],[1.574723400000039]
images/5n.tiff,images/18n.tiff,,,,,,,,,['m'],[1.3786631000000398]
images/4n.tiff,images/10n.tiff,,,,,,,,,['m'],[1.4699067999999897]
images/5n.tiff,images/4n.tiff,,,,,,,,,['m'],[1.4474245999999766]
images/5n.tiff,images/10n.tiff,,,,,,,,,['m'],[2.4177614000000176]
images/10n.tiff,images/18n.tiff,,,,,,,,,['m'],[2.571025700000064]
images/18n.tiff,images/10n.tiff,,,,,,,,,['m'],[1.9926551999999447]
images/18n.tiff,images/4n.tiff,,,,,,,,,['m'],[2.4535273999999845]
images/4n.tiff,images/5n.tiff,,,,,,,,,['m'],[1.6146714999999858]
images/4n.tiff,images/5n.tiff,,,,,,,,,['m'],[3.0817899000001034]
images/10n.tiff,images/18n.tiff,,,,,,,,,['m'],[1.170245100000102]
images/18n.tiff,images/10n.tiff,,,,,,,,,['m'],[2.254347800000005]
images/18n.tiff,images/18n.tiff,,,,,,,,,['z'],[1.3449293000001035]
images/4n.tiff,images/10n.tiff,,,,,,,,,['m'],[2.1014228999999887]
images/5n.tiff,images/4n.tiff,,,,,,,,,['m'],[1.4533966999999848]
images/10n.tiff,images/10n.tiff,,,,,,,,,['z'],[1.150557800000115]
images/10n.tiff,images/5n.tiff,,,,,,,,,['m'],[1.2046179999999822]
images/18n.tiff,images/5n.tiff,,,,,,,,,['m'],[1.2225574000001416]
images/10n.tiff,images/4n.tiff,,,,,,,,,['m'],[1.488578299999972]
images/18n.tiff,images/18n.tiff,,,,,,,,,['z'],[1.2811322000000018]
images/4n.tiff,images/4n.tiff,,,,,,,,,['z'],[3.04976970000007]
images/10n.tiff,images/10n.tiff,,,,,,,,,['z'],[2.555721700000049]
images/4n.tiff,images/18n.tiff,,,,,,,,,['m'],[1.9131236000000627]
images/5n.tiff,images/18n.tiff,,,,,,,,,['m'],[2.591634100000192]
images/5n.tiff,images/5n.tiff,,,,,,,,,['z'],[1.2666470000001482]
images/4n.tiff,images/5n.tiff,,,,,,,,,['m'],[1.416012599999931]
images/4n.tiff,images/10n.tiff,,,,,,,,,['m'],[1.3429408999998032]
images/10n.tiff,images/5n.tiff,,,,,,,,,['m'],[1.5505637999999635]
images/5n.tiff,images/4n.tiff,,,,,,,,,['m'],[2.2587246000000505]
images/5n.tiff,images/5n.tiff,,,,,,,,,['z'],[1.3717054999999618]
images/18n.tiff,images/18n.tiff,,,,,,,,,['z'],[1.7122945000000982]
images/5n.tiff,images/10n.tiff,,,,,,,,,['m'],[1.894789499999888]
images/5n.tiff,images/4n.tiff,,,,,,,,,['m'],[1.5031426000000465]
images/4n.tiff,images/4n.tiff,,,,,,,,,['z'],[1.1970011999999315]
images/5n.tiff,images/18n.tiff,,,,,,,,,['m'],[1.3859327000000121]
images/10n.tiff,images/18n.tiff,,,,,,,,,['m'],[1.2375789999998688]
images/18n.tiff,images/10n.tiff,,,,,,,,,['m'],[1.2861456000000544]
images/18n.tiff,images/4n.tiff,,,,,,,,,['m'],[2.0264532999999574]
images/10n.tiff,images/5n.tiff,,,,,,,,,['m'],[1.1547634000000926]
images/18n.tiff,images/18n.tiff,,,,,,,,,['z'],[1.1825481000000764]
images/18n.tiff,images/5n.tiff,,,,,,,,,['m'],[1.300933200000145]
images/10n.tiff,images/10n.tiff,,,,,,,,,['z'],[1.3809094000000641]
images/4n.tiff,images/4n.tiff,,,,,,,,,['z'],[1.5447892999998203]
images/4n.tiff,images/18n.tiff,,,,,,,,,['m'],[1.25313489999985]
images/10n.tiff,images/10n.tiff,,,,,,,,,['z'],[1.5118063999998412]
images/18n.tiff,images/4n.tiff,,,,,,,,,['m'],[1.2039658999999574]
images/18n.tiff,images/10n.tiff,,,,,,,,,['m'],[1.5669580000001133]
images/5n.tiff,images/10n.tiff,,,,,,,,,['m'],[1.8050918999999794]
images/5n.tiff,images/18n.tiff,,,,,,,,,['m'],[1.3528345999998237]
images/4n.tiff,images/5n.tiff,,,,,,,,,['m'],[1.2467572999998993]
images/10n.tiff,images/4n.tiff,,,,,,,,,['m'],[1.3118693999999778]
images/5n.tiff,images/5n.tiff,,,,,,,,,['z'],[1.262420599999814]
images/4n.tiff,images/18n.tiff,,,,,,,,,['m'],[1.4706109999999626]
images/10n.tiff,images/18n.tiff,,,,,,,,,['m'],[2.4481025000000045]
images/4n.tiff,images/10n.tiff,,,,,,,,,['m'],[1.2263017000000218]
,,,,,,,,,,,
